,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pt,GSM,Kraft,Cardboard,Corrugated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kg,Shipping Cost,,,,,,,,,,
10,Round Shaped Rigid Boxes,,https://thecustompack.com/round-shaped-rigid-boxes/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,43957,
11,Rigid Book Sleeves,,https://thecustompack.com/rigid-book-sleeves/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,47078,
12,Shoulder Rigid Boxes,,https://thecustompack.com/shoulder-rigid-boxes/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,50059,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,53078,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,56136,
,Kraft Boxes,,https://thecustompack.com/kraft-paperboard/    25*25*25 maximum limit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,59227,
1,Kraft Mailer Box,10,https://www.thecustomboxes.com/kraft-mailer-boxes/,6,11,2.5,17.5,31,189875,12.25,4900,200,1200,1200,2400,0,2400,2400,4800,0,5000,5000,10000,0,8000,8000,16000,0,3500,3500,7000,0,6000,6000,12000,0,8000,8000,16000,0,10000,10000,20000,0,17.5,31,,,,,,,,,17.5,31,4882.5,1000,1000,,25%,0.11025,11.025,38043,50%,10%,,,,,20,62357,
2,Kraft  Box with Lid,10,https://custompackagingpro.com/product/kraft-boxes-with-lids,8,6,3,13.5,21.5,101587.5,6.55403225806452,2621.61290322581,200,1200,1200,2400,0,2400,2400,4800,0,5000,5000,10000,0,8000,8000,16000,0,3500,3500,7000,0,6000,6000,12000,0,8000,8000,16000,0,10000,10000,20000,0,13.5,21.5,,,,,,,,,13.5,21.5,2612.25,1000,1000,2x,25%,0.0589862903225806,11.7972580645161,38043,50%,10%,,,,,21,62538,
3,Kraft Pillow  Box,10,https://custompackagingpro.com/product/custom-kraft-pillow-soap-boxes,4,3,1.5,6.5,7,13650,0.880645161290323,352.258064516129,200,1200,1200,2400,0,2400,2400,4800,0,5000,5000,10000,0,8000,8000,16000,0,3500,3500,7000,0,6000,6000,12000,0,8000,8000,16000,0,10000,10000,20000,0,6.5,7,,,,,,,,,6.5,7,1000,1000,1000,,25,0.0079258064516129,0.79258064516129,9103, 0.90 ,10%,,,,,22,65504,
4,Kraft Gable Box,10,https://www.thecustomboxes.com/gable-boxes/,10,4,7,29.5,17,150450,9.70645161290323,3882.58064516129,200,1200,1200,2400,0,2400,2400,4800,0,5000,5000,10000,0,8000,8000,16000,0,3500,3500,7000,0,6000,6000,12000,0,8000,8000,16000,0,10000,10000,20000,0,29.5,17,,,,,,,,,29.5,17,1000,1000,1000,,25,0.087358064516129,8.7358064516129,31273,60%,10%,,,,,23,68349,
