,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pt,GSM,Kraft,Cardboard,Corrugated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kg,Shipping Cost,,,,,,,,,,
23,Cardboard  Ciggeret Box,,,2.5,1,4,8.5,8,20400,1.31612903225806,394.838709677419,200,1200,1200,2400,0,2400,2400,4800,0,5000,5000,10000,0,8000,8000,16000,0,3500,3500,7000,0,6000,6000,12000,0,8000,8000,16000,0,10000,10000,20000,0,8.5,8,0.472222222222222,1.65277777777778,165.277777777778,8.5,8,0.472222222222222,9.44444444444445,944.444444444445,8.5,8,1000,1000,1000,,25,0.0118451612903226,1.18451612903226,10668,50%,10%,,,,,,,
24,,,https://custompackagingpro.com/product/header-cards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Cardboard Bookend Box,,https://www.thecustomboxes.com/bookend/,3,1.5,5,16.5,9.5,47025,3.03387096774194,910.161290322581,200,1200,1200,2400,0,2400,2400,4800,0,5000,5000,10000,0,8000,8000,16000,0,3500,3500,7000,0,6000,6000,12000,0,8000,8000,16000,0,10000,10000,20000,0,16.5,9.5,1.08854166666667,3.80989583333333,380.989583333333,16.5,9.5,1.08854166666667,21.7708333333333,2177.08333333333,16.5,9.5,1000,1000,1000,,25,0.0273048387096774,2.73048387096774,15569,50%,10%,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,https://www.thecustomboxes.com/triangular-tray-lid/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Cardboard Double Wall Frame Tray,,https://www.thecustomboxes.com/double-wall-frame-tray/,11,7,3,30,26,234000,15.0967741935484,4529.03225806452,200,1200,1200,2400,0,2400,2400,4800,0,5000,5000,10000,0,8000,8000,16000,0,3500,3500,7000,0,6000,6000,12000,0,8000,8000,16000,0,10000,10000,20000,0,30,26,5.41666666666667,18.9583333333333,1895.83333333333,30,26,5.41666666666667,108.333333333333,10833.3333333333,30,26,1000,1000,1000,,25,0.135870967741936,13.5870967741935,43957,50%,10%,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Corrugated Boxes,,https://thecustompack.com/corrugated-cardboard/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Corrugated  Mailer Box,,,6,11,2.5,17.5,31,379750,24.5,7350,200,1200,1200,2400,0,2400,2400,4800,0,5000,5000,10000,0,8000,8000,16000,0,3500,3500,7000,0,6000,6000,12000,0,8000,8000,16000,0,10000,10000,20000,0,17.5,31,3.76736111111111,13.1857638888889,1318.57638888889,17.5,31,3.76736111111111,75.3472222222222,7534.72222222222,17.5,31,4882.5,1000,1000,,25%,0.2205,22.05,68349,50%,10%,in casse of 2 side printing also multiple the material cost with 1.5X,,,,,,
2,Corrugated Gable Box,,,10,4,7,29.5,17,351050,22.6483870967742,6794.51612903226,200,1200,1200,2400,0,2400,2400,4800,0,5000,5000,10000,0,8000,8000,16000,0,3500,3500,7000,0,6000,6000,12000,0,8000,8000,16000,0,10000,10000,20000,0,29.5,17,3.48263888888889,12.1892361111111,1218.92361111111,29.5,17,3.48263888888889,69.6527777777778,6965.27777777778,29.5,17,1000,1000,1000,,25,0.203835483870968,20.3835483870968,62538,60%,10%,in casse of 2 side printing also multiple the material cost with 1.5X,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Corrugated Double Locked Wall Lid Box,,,8,6,3,19.5,21.5,293475,18.9338709677419,5680.16129032258,200,1200,1200,2400,0,2400,2400,4800,0,5000,5000,10000,0,8000,8000,16000,0,3500,3500,7000,0,6000,6000,12000,0,8000,8000,16000,0,10000,10000,20000,0,19.5,21.5,2.91145833333333,10.1901041666667,1019.01041666667,19.5,21.5,2.91145833333333,58.2291666666667,5822.91666666667,19.5,21.5,3773.25,1000,1000,2x,25%,0.170404838709677,34.0809677419355,92903,50%,10%,in casse of 2 side printing also multiple the material cost with 1.5X,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Corrugated Seal End Auto Bottom Box,,,3,2,5,11.5,10.5,84525,5.45322580645161,1635.96774193548,200,1200,1200,2400,0,2400,2400,4800,0,5000,5000,10000,0,8000,8000,16000,0,3500,3500,7000,0,6000,6000,12000,0,8000,8000,16000,0,10000,10000,20000,0,11.5,10.5,0.838541666666667,2.93489583333333,293.489583333333,11.5,10.5,0.838541666666667,16.7708333333333,1677.08333333333,11.5,10.5,1000,1000,1000,,25,0.0490790322580645,4.90790322580645,22058,50%,10%,in casse of 2 side printing also multiple the material cost with 1.5X,,,,,,
7,Corrugated Auto Bottom Tray,,,6,3,2,19.5,5.75,78487.5,5.06370967741936,1519.11290322581,200,1200,1200,2400,0,2400,2400,4800,0,5000,5000,10000,0,8000,8000,16000,0,3500,3500,7000,0,6000,6000,12000,0,8000,8000,16000,0,10000,10000,20000,0,19.5,5.75,0.778645833333333,2.72526041666667,272.526041666667,19.5,5.75,0.778645833333333,15.5729166666667,1557.29166666667,19.5,5.75,1000,1000,1000,,25,0.0455733870967742,4.55733870967742,22058,50%,10%,in casse of 2 side printing also multiple the material cost with 1.5X,,,,,,
8,Corrugated Two Piece Box,,,8,6,3,13.5,21.5,203175,13.108064516129,3932.41935483871,200,1200,1200,2400,0,2400,2400,4800,0,5000,5000,10000,0,8000,8000,16000,0,3500,3500,7000,0,6000,6000,12000,0,8000,8000,16000,0,10000,10000,20000,0,13.5,21.5,2.015625,7.0546875,705.46875,13.5,21.5,2.015625,40.3125,4031.25,13.5,21.5,2612.25,1000,1000,2x,25%,0.117972580645161,23.5945161290323,70954,50%,10%,in casse of 2 side printing also multiple the material cost with 1.5X,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Corrugated Brief Case Style Box,,https://custompackagingpro.com/product/brief-case-style,6,11,2.5,17.5,31,379750,24.5,7350,200,1200,1200,2400,0,2400,2400,4800,0,5000,5000,10000,0,8000,8000,16000,0,3500,3500,7000,0,6000,6000,12000,0,8000,8000,16000,0,10000,10000,20000,0,17.5,31,3.76736111111111,13.1857638888889,1318.57638888889,17.5,31,3.76736111111111,75.3472222222222,7534.72222222222,17.5,31,4882.5,1000,1000,,25%,0.2205,22.05,68349,50%,10%,in casse of 2 side printing also multiple the material cost with 1.5X,,,,,,
13,Corrugated Full Flap Shipping Box,,,15,10,12,27,24,453600,29.2645161290323,8779.35483870968,200,1200,1200,2400,0,2400,2400,4800,0,5000,5000,10000,0,8000,8000,16000,0,3500,3500,7000,0,6000,6000,12000,0,8000,8000,16000,0,10000,10000,20000,0,27,24,4.5,15.75,1575,27,24,4.5,90,9000,27,24,5832,1000,1000,2x,25%,0.292645161290323,58.5290322580645,79220,50%,10%,in casse of 2 side printing also multiple the material cost with 1.5X,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mylar Bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stand Up Pouche  ,,https://www.instantcustomboxes.com/product/stand-up-zip-lock-mylar-bags/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Zipper Bag ,,https://www.instantcustomboxes.com/product/mylar-ziplock-bags/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Window  Bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shopping Bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kraft Shopping Bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Paper Bag ,,https://custompackagingpro.com/product/paper-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PVC Bag,,https://www.thecustomboxes.com/pvc-bags/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Booklets,,https://www.thecustomboxes.com/booklets/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brochures,,https://www.thecustomboxes.com/brochures/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tags Printing,,https://www.thecustomboxes.com/tags-printing/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Business Cards,,https://www.thecustomboxes.com/business-cards/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Custom Tissue Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Butter Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Product Labels & Bottle Labels,,https://custompackagingpro.com/product/custom-product-labels-bottle-labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table Tents,,https://custompackagingpro.com/product/table-tents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Packing Tape,,https://www.boxup.com/product/custom-packing-tape?srsltid=AfmBOorIEVASrFEaXW4QnrHZuT3yShA0ECczPx0NNHOinmz2RXd5relB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
